Degree,Major,degree_entities,major_entities,relationships
Bachelor of Arts,"Philosophy, Politics and Economics","[('Bachelor of Arts', 'Degree')]","[('Philosophy', 'Major'), ('Politics and Economics', 'Major')]","[{'from_type': 'Major', 'from_id': 'Philosophy', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}, {'from_type': 'Major', 'from_id': 'Politics and Economics', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Environmental Studies,Environmental Studies,"[('Bachelor of Environmental Studies', 'Degree')]","[('Environmental Studies', 'Major')]","[{'from_type': 'Major', 'from_id': 'Environmental Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Environmental Studies', 'type': 'IS_UNDER'}]"
Bachelor of Science,Data Science and Economics,"[('Bachelor of Science', 'Degree')]","[('Data Science and Economics', 'Major')]","[{'from_type': 'Major', 'from_id': 'Data Science and Economics', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Chemistry,"[('Bachelor of Science', 'Degree')]","[('Chemistry', 'Major')]","[{'from_type': 'Major', 'from_id': 'Chemistry', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Data Science and Analytics,"[('Bachelor of Science', 'Degree')]","[('Data Science and Analytics', 'Major')]","[{'from_type': 'Major', 'from_id': 'Data Science and Analytics', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Food Science and Technology,"[('Bachelor of Science', 'Degree')]","[('Food Science and Technology', 'Major')]","[{'from_type': 'Major', 'from_id': 'Food Science and Technology', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Life Sciences,"[('Bachelor of Science', 'Degree')]","[('Life Sciences', 'Major')]","[{'from_type': 'Major', 'from_id': 'Life Sciences', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Mathematics,"[('Bachelor of Science', 'Degree')]","[('Mathematics', 'Major')]","[{'from_type': 'Major', 'from_id': 'Mathematics', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Pharmaceutical Science,"[('Bachelor of Science', 'Degree')]","[('Pharmaceutical Science', 'Major')]","[{'from_type': 'Major', 'from_id': 'Pharmaceutical Science', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Physics,"[('Bachelor of Science', 'Degree')]","[('Physics', 'Major')]","[{'from_type': 'Major', 'from_id': 'Physics', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Quantitative Finance,"[('Bachelor of Science', 'Degree')]","[('Quantitative Finance', 'Major')]","[{'from_type': 'Major', 'from_id': 'Quantitative Finance', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Statistics,"[('Bachelor of Science', 'Degree')]","[('Statistics', 'Major')]","[{'from_type': 'Major', 'from_id': 'Statistics', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Nursing,"[('Bachelor of Science', 'Degree')]","[('Nursing', 'Major')]","[{'from_type': 'Major', 'from_id': 'Nursing', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Nursing Practice,"[('Bachelor of Science', 'Degree')]","[('Nursing Practice', 'Major')]","[{'from_type': 'Major', 'from_id': 'Nursing Practice', 'to_type': 'Degree', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Pharmacy,Pharmacy,"[('Bachelor of Pharmacy', 'Degree')]","[('Pharmacy', 'Major')]","[{'from_type': 'Major', 'from_id': 'Pharmacy', 'to_type': 'Degree', 'to_id': 'Bachelor of Pharmacy', 'type': 'IS_UNDER'}]"
Bachelor of Law,Law,"[('Bachelor of Law', 'Degree')]","[('Law', 'Major')]","[{'from_type': 'Major', 'from_id': 'Law', 'to_type': 'Degree', 'to_id': 'Bachelor of Law', 'type': 'IS_UNDER'}]"
Bachelor of Medicine and Bachelor of Surgery,Medicine,"[('Bachelor of Medicine and Bachelor of Surgery', 'Degree')]","[('Medicine', 'Major')]","[{'from_type': 'Major', 'from_id': 'Medicine', 'to_type': 'Degree', 'to_id': 'Bachelor of Medicine and Bachelor of Surgery', 'type': 'IS_UNDER'}]"
