Degree,Major,degree_entities,major_entities,relationships
Bachelor of Arts,Social Work,"[('Bachelor of Arts', 'DEGREE')]","[('Social Work', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Social Work', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Sociology,"[('Bachelor of Arts', 'DEGREE')]","[('Sociology', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Sociology', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,"Philosophy, Politics and Economics","[('Bachelor of Arts', 'DEGREE')]","[('Philosophy, Politics and Economics', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Philosophy, Politics and Economics', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Environmental Studies,Environmental Studies,"[('Bachelor of Environmental Studies', 'DEGREE')]","[('Environmental Studies', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Environmental Studies', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Environmental Studies', 'type': 'IS_UNDER'}]"
Bachelor of Science,Data Science and Economics,"[('Bachelor of Science', 'DEGREE')]","[('Data Science and Economics', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Data Science and Economics', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Chemistry,"[('Bachelor of Science', 'DEGREE')]","[('Chemistry', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Chemistry', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Data Science and Analytics,"[('Bachelor of Science', 'DEGREE')]","[('Data Science and Analytics', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Data Science and Analytics', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Food Science and Technology,"[('Bachelor of Science', 'DEGREE')]","[('Food Science and Technology', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Food Science and Technology', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Life Sciences,"[('Bachelor of Science', 'DEGREE')]","[('Life Sciences', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Life Sciences', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Mathematics,"[('Bachelor of Science', 'DEGREE')]","[('Mathematics', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Mathematics', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Pharmaceutical Science,"[('Bachelor of Science', 'DEGREE')]","[('Pharmaceutical Science', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Pharmaceutical Science', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Physics,"[('Bachelor of Science', 'DEGREE')]","[('Physics', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Physics', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Quantitative Finance,"[('Bachelor of Science', 'DEGREE')]","[('Quantitative Finance', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Quantitative Finance', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Statistics,"[('Bachelor of Science', 'DEGREE')]","[('Statistics', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Statistics', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Nursing,"[('Bachelor of Science', 'DEGREE')]","[('Nursing', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Nursing', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Science,Nursing Practice,"[('Bachelor of Science', 'DEGREE')]","[('Nursing Practice', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Nursing Practice', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Science', 'type': 'IS_UNDER'}]"
Bachelor of Pharmacy,Pharmacy,"[('Bachelor of Pharmacy', 'DEGREE')]","[('Pharmacy', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Pharmacy', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Pharmacy', 'type': 'IS_UNDER'}]"
Bachelor of Law,Law,"[('Bachelor of Law', 'DEGREE')]","[('Law', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Law', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Law', 'type': 'IS_UNDER'}]"
Bachelor of Medicine and Bachelor of Surgery,Medicine,"[('Bachelor of Medicine and Bachelor of Surgery', 'DEGREE')]","[('Medicine', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Medicine', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Medicine and Bachelor of Surgery', 'type': 'IS_UNDER'}]"
